date,max,min,rain,snow,avg_max,avg_min
2016.10.25.,17,10,3,0,13,6
2016.10.26.,15,7,4,0,13,6
2016.10.27.,12,3,0,0,13,6
2016.10.28.,12,1,0,0,13,5
2016.10.29.,15,5,1,0,12,5
2016.10.30.,12,6,0,0,12,5
2016.10.31.,11,4,0,0,12,5
2016.11.01.,12,3,0,0,12,4
2016.11.02.,14,3,0,0,12,4
2016.11.03.,10,0,0,0,11,4
2016.11.04.,9,-4,0,0,11,4
2016.11.05.,11,0,10,0,11,4
2016.11.06.,16,6,10,0,11,4
2016.11.07.,9,4,0,0,10,4
2016.11.08.,7,3,0,0,10,3
2016.11.09.,8,-2,0,0,9,3
2016.11.10.,6,-3,1,0,9,3
2016.11.11.,8,1,0,0,9,3
2016.11.12.,6,3,9,0,9,3
2016.11.13.,5,1,0,0,8,3
2016.11.14.,6,0,0,0,8,3
2016.11.15.,5,-4,0,0,8,3
2016.11.16.,3,-2,2,0,8,2
2016.11.17.,7,1,1,0,8,2
2016.11.18.,16,1,0,0,8,2
2016.11.19.,14,8,0,0,7,2
2016.11.20.,15,7,0,0,7,2
2016.11.21.,12,5,0,0,7,2
2016.11.22.,11,4,0,0,7,2
2016.11.23.,11,2,0,0,7,2
2016.11.24.,9,2,0,0,7,2
2016.11.25.,10,4,0,0,7,2
2016.11.26.,10,3,0,0,6,1
2016.11.27.,10,3,0,0,6,1
2016.11.28.,4,0,0,0,6,1
2016.11.29.,4,-2,0,0,6,1
2016.11.30.,4,-5,0,0,6,1
2016.12.01.,6,0,0,0,6,1
2016.12.02.,8,2,0,0,6,1
2016.12.03.,5,-4,0,0,5,1
2016.12.04.,5,-7,0,0,5,1
2016.12.05.,0,-6,0,0,5,1
2016.12.06.,1,-5,0,0,4,0
2016.12.07.,3,-7,0,0,4,0
2016.12.08.,-2,-4,0,0,4,0
2016.12.09.,8,-3,0,0,4,0
2016.12.10.,11,1,0,0,4,0
2016.12.11.,13,-2,0,0,4,-1
2016.12.12.,8,-1,0,0,4,-1
2016.12.13.,2,-6,0,0,3,-1
2016.12.14.,-1,-6,0,0,3,-1
2016.12.15.,0,-3,0,0,3,-1
2016.12.16.,4,-6,0,0,3,-1
2016.12.17.,-3,-8,0,0,3,-1
2016.12.18.,-2,-4,0,0,3,-1
2016.12.19.,-3,-4,0,0,3,-1
2016.12.20.,-4,-4,0,0,3,-1
2016.12.21.,-3,-5,0,0,3,-1
2016.12.22.,-2,-3,0,0,3,-1
2016.12.23.,-2,-3,0,0,3,-2
2016.12.24.,-1,-2,0,0,3,-2
2016.12.25.,6,-1,1,0,3,-2
2016.12.26.,11,4,0,0,3,-2
2016.12.27.,9,4,0,0,2,-2
2016.12.28.,6,1,0,0,2,-2
2016.12.29.,4,-4,0,0,2,-2
2016.12.30.,3,-7,0,0,2,-2
2016.12.31.,2,-9,0,0,2,-2
2017.01.01.,-5,-9,0,0,2,-2
2017.01.02.,-3,-7,0,0,2,-2
2017.01.03.,3,-7,0,0,2,-2
2017.01.04.,3,-3,0,0,2,-3
2017.01.05.,3,-5,0,1.3,2,-3
2017.01.06.,-5,-12,0,0,2,-3
2017.01.07.,-9,-14,0,0,2,-3
2017.01.08.,-5,-17,0,0,2,-3
2017.01.09.,-3,-15,0,0,2,-3
2017.01.10.,-6,-12,0,0,2,-3
2017.01.11.,-1,-11,0,0,2,-3
2017.01.12.,3,-9,1,1.3,2,-3
2017.01.13.,2,-1,17,2.5,2,-3
2017.01.14.,4,-1,0,0.1,2,-3
2017.01.15.,3,-3,0,0,2,-3
2017.01.16.,-2,-9,0,0,2,-3
2017.01.17.,2,-5,0,0,2,-3
2017.01.18.,2,-5,0,0,2,-3
2017.01.19.,1,-8,0,0,2,-3
2017.01.20.,1,-11,0,0,2,-3
2017.01.21.,1,-11,0,0,2,-3
2017.01.22.,0,-10,0,0,2,-3
2017.01.23.,-1,-10,0,0,2,-3
2017.01.24.,1,-10,0,0,2,-3
2017.01.25.,-1,-9,0,0,2,-3
2017.01.26.,1,-10,0,0,2,-3
2017.01.27.,-6,-10,0,0,3,-3
2017.01.28.,-7,-10,0,0,3,-3
