date,tick,export,import,system_load
2016.01.08.,1-2,1157.0,2160.0,4386.0
2016.01.08.,2-3,1014.0,1835.0,4193.0
2016.01.08.,3-4,983.0,1732.0,4104.0
2016.01.08.,4-5,984.0,1774.0,4205.0
2016.01.08.,5-6,1136.0,2007.0,4553.0
2016.01.08.,6-7,896.0,2089.0,5320.0
2016.01.08.,7-8,735.0,2131.0,5625.0
2016.01.08.,8-9,705.0,2134.0,5680.0
2016.01.08.,9-10,760.0,2119.0,5732.0
2016.01.08.,10-11,783.0,2191.0,5736.0
2016.01.08.,11-12,814.0,2354.0,5741.0
2016.01.08.,12-13,737.0,2442.0,5713.0
2016.01.08.,13-14,806.0,2394.0,5602.0
2016.01.08.,14-15,857.0,2264.0,5544.0
2016.01.08.,15-16,716.0,2207.0,5595.0
2016.01.08.,16-17,589.0,2284.0,5811.0
2016.01.08.,17-18,615.0,2274.0,5863.0
2016.01.08.,18-19,666.0,2226.0,5735.0
2016.01.08.,19-20,663.0,2107.0,5622.0
2016.01.08.,20-21,779.0,2015.0,5422.0
2016.01.08.,21-22,1030.0,2033.0,5241.0
2016.01.08.,22-23,973.0,2135.0,5026.0
2016.01.08.,23-24,1172.0,2125.0,4796.0
2016.01.09.,0-1,1257.0,2252.0,4476.0
2016.01.09.,1-2,1290.0,2242.0,4281.0
2016.01.09.,2-3,1274.0,2113.0,4065.0
2016.01.09.,3-4,1326.0,2071.0,3946.0
2016.01.09.,4-5,1312.0,2099.0,3952.0
2016.01.09.,5-6,1338.0,2242.0,4068.0
2016.01.09.,6-7,1330.0,2475.0,4382.0
2016.01.09.,7-8,1307.0,2548.0,4676.0
2016.01.09.,8-9,1125.0,2600.0,4943.0
2016.01.09.,9-10,953.0,2661.0,5185.0
2016.01.09.,10-11,858.0,2682.0,5335.0
2016.01.09.,11-12,715.0,2612.0,5430.0
2016.01.09.,12-13,746.0,2641.0,5422.0
2016.01.09.,13-14,776.0,2612.0,5279.0
2016.01.09.,14-15,764.0,2528.0,5169.0
2016.01.09.,15-16,681.0,2502.0,5188.0
2016.01.09.,16-17,658.0,2614.0,5389.0
2016.01.09.,17-18,653.0,2636.0,5410.0
2016.01.09.,18-19,688.0,2557.0,5328.0
2016.01.09.,19-20,711.0,2553.0,5254.0
2016.01.09.,20-21,721.0,2468.0,5091.0
2016.01.09.,21-22,919.0,2462.0,4876.0
2016.01.09.,22-23,948.0,2319.0,4623.0
2016.01.09.,23-24,1262.0,2509.0,4396.0
2016.01.10.,0-1,1380.0,2371.0,4096.0
2016.01.10.,1-2,1376.0,2186.0,3958.0
2016.01.10.,2-3,1473.0,2114.0,3760.0
2016.01.10.,3-4,1335.0,1936.0,3646.0
2016.01.10.,4-5,1220.0,1815.0,3658.0
2016.01.10.,5-6,1226.0,1921.0,3734.0
2016.01.10.,6-7,1134.0,1970.0,3904.0
2016.01.10.,7-8,1173.0,2189.0,4145.0
2016.01.10.,8-9,1095.0,2398.0,4462.0
2016.01.10.,9-10,925.0,2533.0,4804.0
2016.01.10.,10-11,666.0,2490.0,5003.0
2016.01.10.,11-12,565.0,2529.0,5108.0
2016.01.10.,12-13,612.0,2554.0,5033.0
2016.01.10.,13-14,731.0,2473.0,4836.0
2016.01.10.,14-15,852.0,2509.0,4746.0
2016.01.10.,15-16,830.0,2438.0,4750.0
2016.01.10.,16-17,626.0,2635.0,4974.0
2016.01.10.,17-18,501.0,2633.0,5132.0
2016.01.10.,18-19,611.0,2622.0,5105.0
2016.01.10.,19-20,702.0,2670.0,5100.0
2016.01.10.,20-21,769.0,2479.0,4937.0
2016.01.10.,21-22,832.0,2364.0,4704.0
2016.01.10.,22-23,1001.0,2332.0,4514.0
2016.01.10.,23-24,1140.0,2312.0,4296.0
2016.01.11.,0-1,976.0,1937.0,4021.0
2016.01.11.,1-2,968.0,1804.0,3911.0
2016.01.11.,2-3,893.0,1522.0,3739.0
2016.01.11.,3-4,859.0,1350.0,3655.0
2016.01.11.,4-5,932.0,1479.0,3787.0
2016.01.11.,5-6,1094.0,1991.0,4207.0
2016.01.11.,6-7,924.0,2183.0,5078.0
2016.01.11.,7-8,828.0,2234.0,5402.0
2016.01.11.,8-9,745.0,2267.0,5484.0
2016.01.11.,9-10,773.0,2366.0,5570.0
2016.01.11.,10-11,774.0,2348.0,5597.0
2016.01.11.,11-12,684.0,2232.0,5626.0
2016.01.11.,12-13,644.0,2158.0,5622.0
2016.01.11.,13-14,710.0,2161.0,5567.0
2016.01.11.,14-15,753.0,2208.0,5573.0
2016.01.11.,15-16,758.0,2263.0,5662.0
2016.01.11.,16-17,621.0,2334.0,5774.0
2016.01.11.,17-18,681.0,2390.0,5797.0
2016.01.11.,18-19,743.0,2402.0,5702.0
2016.01.11.,19-20,796.0,2376.0,5609.0
2016.01.11.,20-21,913.0,2319.0,5414.0
2016.01.11.,21-22,937.0,2266.0,5191.0
2016.01.11.,22-23,787.0,2309.0,4943.0
2016.01.11.,23-24,778.0,2117.0,4681.0
2016.01.12.,0-1,865.0,1925.0,4332.0
2016.01.12.,1-2,686.0,1577.0,4144.0
2016.01.12.,2-3,599.0,1305.0,3951.0
2016.01.12.,3-4,549.0,1204.0,3875.0
2016.01.12.,4-5,568.0,1311.0,3991.0
2016.01.12.,5-6,671.0,1563.0,4335.0
2016.01.12.,6-7,701.0,1989.0,5121.0
2016.01.12.,7-8,626.0,1979.0,5409.0
2016.01.12.,8-9,548.0,1958.0,5410.0
2016.01.12.,9-10,408.0,1887.0,5427.0
2016.01.12.,10-11,351.0,1877.0,5422.0
2016.01.12.,11-12,307.0,1857.0,5425.0
2016.01.12.,12-13,416.0,1926.0,5431.0
2016.01.12.,13-14,420.0,1926.0,5361.0
2016.01.12.,14-15,517.0,2030.0,5381.0
2016.01.12.,15-16,464.0,2008.0,5474.0
2016.01.12.,16-17,370.0,2114.0,5658.0
2016.01.12.,17-18,579.0,2346.0,5772.0
2016.01.12.,18-19,671.0,2371.0,5689.0
2016.01.12.,19-20,803.0,2388.0,5593.0
2016.01.12.,20-21,886.0,2265.0,5401.0
2016.01.12.,21-22,1040.0,2300.0,5181.0
2016.01.12.,22-23,961.0,2387.0,4934.0
2016.01.12.,23-24,1008.0,2356.0,4696.0
2016.01.13.,0-1,1133.0,2241.0,4395.0
2016.01.13.,1-2,1010.0,1965.0,4187.0
2016.01.13.,2-3,868.0,1632.0,4003.0
2016.01.13.,3-4,751.0,1441.0,3909.0
2016.01.13.,4-5,850.0,1609.0,4014.0
2016.01.13.,5-6,971.0,1891.0,4371.0
2016.01.13.,6-7,887.0,2173.0,5173.0
2016.01.13.,7-8,880.0,2260.0,5444.0
2016.01.13.,8-9,797.0,2257.0,5440.0
2016.01.13.,9-10,696.0,2266.0,5446.0
2016.01.13.,10-11,738.0,2314.0,5473.0
2016.01.13.,11-12,655.0,2269.0,5492.0
2016.01.13.,12-13,623.0,2228.0,5504.0
2016.01.13.,13-14,659.0,2227.0,5422.0
2016.01.13.,14-15,735.0,2316.0,5419.0
2016.01.13.,15-16,760.0,2328.0,5530.0
2016.01.13.,16-17,678.0,2407.0,5733.0
2016.01.13.,17-18,627.0,2363.0,5826.0
2016.01.13.,18-19,633.0,2285.0,5736.0
2016.01.13.,19-20,681.0,2219.0,5643.0
2016.01.13.,20-21,821.0,2153.0,5433.0
2016.01.13.,21-22,1089.0,2229.0,5226.0
2016.01.13.,22-23,938.0,2247.0,4969.0
2016.01.13.,23-24,1170.0,2447.0,4739.0
2016.01.14.,0-1,1337.0,2388.0,4424.0
2016.01.14.,1-2,1181.0,2071.0,4225.0
2016.01.14.,2-3,1074.0,1759.0,4021.0
2016.01.14.,3-4,993.0,1585.0,3948.0
2016.01.14.,4-5,1094.0,1785.0,4055.0
2016.01.14.,5-6,1277.0,2158.0,4407.0
2016.01.14.,6-7,1012.0,2286.0,5216.0
2016.01.14.,7-8,946.0,2279.0,5483.0
2016.01.14.,8-9,774.0,2236.0,5465.0
2016.01.14.,9-10,756.0,2256.0,5473.0
2016.01.14.,10-11,737.0,2382.0,5460.0
2016.01.14.,11-12,687.0,2460.0,5507.0
2016.01.14.,12-13,743.0,2326.0,5511.0
2016.01.14.,13-14,757.0,2239.0,5461.0
2016.01.14.,14-15,766.0,2201.0,5442.0
2016.01.14.,15-16,722.0,2202.0,5523.0
2016.01.14.,16-17,680.0,2265.0,5710.0
2016.01.14.,17-18,641.0,2253.0,5852.0
2016.01.14.,18-19,692.0,2203.0,5758.0
2016.01.14.,19-20,706.0,2133.0,5665.0
2016.01.14.,20-21,887.0,2146.0,5475.0
2016.01.14.,21-22,946.0,2151.0,5256.0
2016.01.14.,22-23,1049.0,2266.0,5023.0
2016.01.14.,23-24,1201.0,2405.0,4799.0
2016.01.15.,0-1,1381.0,2265.0,4470.0
2016.01.15.,1-2,1299.0,2206.0,4283.0
2016.01.15.,2-3,1296.0,2084.0,4079.0
2016.01.15.,3-4,1262.0,2003.0,3996.0
2016.01.15.,4-5,1206.0,2025.0,4119.0
2016.01.15.,5-6,1176.0,2137.0,4475.0
2016.01.15.,6-7,850.0,2071.0,5243.0
2016.01.15.,7-8,806.0,2180.0,5562.0
2016.01.15.,8-9,707.0,2127.0,5584.0
2016.01.15.,9-10,626.0,2095.0,5638.0
2016.01.15.,10-11,568.0,2097.0,5687.0
2016.01.15.,11-12,524.0,2114.0,5747.0
2016.01.15.,12-13,514.0,2072.0,5740.0
2016.01.15.,13-14,508.0,1950.0,5656.0
2016.01.15.,14-15,530.0,1900.0,5596.0
2016.01.15.,15-16,530.0,1946.0,5621.0
2016.01.15.,16-17,449.0,2004.0,5746.0
2016.01.15.,17-18,443.0,2047.0,5841.0
2016.01.15.,18-19,562.0,2045.0,5710.0
2016.01.15.,19-20,600.0,2018.0,5578.0
2016.01.15.,20-21,748.0,1950.0,5379.0
2016.01.15.,21-22,886.0,2036.0,5198.0
2016.01.15.,22-23,854.0,2307.0,4990.0
2016.01.15.,23-24,905.0,2215.0,4764.0
2016.01.16.,0-1,872.0,2141.0,4428.0
2016.01.16.,1-2,962.0,2133.0,4236.0
2016.01.16.,2-3,891.0,1856.0,4033.0
2016.01.16.,3-4,867.0,1747.0,3919.0
2016.01.16.,4-5,835.0,1735.0,3951.0
2016.01.16.,5-6,919.0,1940.0,4052.0
2016.01.16.,6-7,891.0,2089.0,4386.0
2016.01.16.,7-8,957.0,2269.0,4674.0
2016.01.16.,8-9,826.0,2279.0,4907.0
2016.01.16.,9-10,758.0,2359.0,5081.0
2016.01.16.,10-11,769.0,2282.0,5154.0
2016.01.16.,11-12,668.0,2297.0,5241.0
2016.01.16.,12-13,727.0,2332.0,5214.0
2016.01.16.,13-14,799.0,2352.0,5065.0
2016.01.16.,14-15,894.0,2349.0,4979.0
2016.01.16.,15-16,871.0,2321.0,4987.0
2016.01.16.,16-17,758.0,2239.0,5189.0
2016.01.16.,17-18,660.0,2217.0,5353.0
2016.01.16.,18-19,687.0,2209.0,5282.0
2016.01.16.,19-20,706.0,2180.0,5202.0
2016.01.16.,20-21,796.0,2316.0,5023.0
2016.01.16.,21-22,850.0,2374.0,4818.0
2016.01.16.,22-23,957.0,2280.0,4587.0
2016.01.16.,23-24,1089.0,2210.0,4360.0
2016.01.17.,0-1,1087.0,2110.0,4059.0
2016.01.17.,1-2,1175.0,2123.0,3935.0
2016.01.17.,2-3,1158.0,1901.0,3736.0
2016.01.17.,3-4,1099.0,1747.0,3646.0
2016.01.17.,4-5,1082.0,1756.0,3655.0
2016.01.17.,5-6,1078.0,1829.0,3707.0
2016.01.17.,6-7,1092.0,1990.0,3922.0
2016.01.17.,7-8,980.0,2118.0,4169.0
2016.01.17.,8-9,935.0,2351.0,4487.0
2016.01.17.,9-10,857.0,2523.0,4749.0
2016.01.17.,10-11,855.0,2696.0,4928.0
2016.01.17.,11-12,842.0,2699.0,5016.0
2016.01.17.,12-13,843.0,2582.0,4926.0
2016.01.17.,13-14,954.0,2592.0,4771.0
2016.01.17.,14-15,967.0,2500.0,4699.0
2016.01.17.,15-16,854.0,2419.0,4704.0
2016.01.17.,16-17,840.0,2583.0,4927.0
2016.01.17.,17-18,844.0,2574.0,5204.0
2016.01.17.,18-19,821.0,2539.0,5196.0
2016.01.17.,19-20,869.0,2544.0,5177.0
2016.01.17.,20-21,940.0,2489.0,5020.0
2016.01.17.,21-22,975.0,2469.0,4818.0
2016.01.17.,22-23,969.0,2274.0,4598.0
2016.01.17.,23-24,998.0,2106.0,4363.0
2016.01.18.,0-1,869.0,1718.0,4108.0
2016.01.18.,1-2,979.0,1724.0,4012.0
2016.01.18.,2-3,970.0,1552.0,3852.0
2016.01.18.,3-4,1026.0,1502.0,3753.0
2016.01.18.,4-5,991.0,1607.0,3907.0
2016.01.18.,5-6,838.0,1770.0,4343.0
2016.01.18.,6-7,739.0,2004.0,5252.0
2016.01.18.,7-8,593.0,1941.0,5575.0
2016.01.18.,8-9,424.0,1904.0,5596.0
2016.01.18.,9-10,430.0,1995.0,5606.0
2016.01.18.,10-11,466.0,2069.0,5589.0
2016.01.18.,11-12,470.0,2126.0,5616.0
2016.01.18.,12-13,399.0,2039.0,5647.0
2016.01.18.,13-14,449.0,2016.0,5576.0
2016.01.18.,14-15,550.0,2106.0,5560.0
2016.01.18.,15-16,505.0,2079.0,5629.0
2016.01.18.,16-17,378.0,2104.0,5778.0
2016.01.18.,17-18,395.0,2198.0,5963.0
2016.01.18.,18-19,382.0,2119.0,5881.0
2016.01.18.,19-20,455.0,2086.0,5791.0
2016.01.18.,20-21,781.0,2323.0,5594.0
2016.01.18.,21-22,974.0,2491.0,5364.0
2016.01.18.,22-23,956.0,2609.0,5108.0
2016.01.18.,23-24,998.0,2627.0,4875.0
2016.01.19.,0-1,978.0,2404.0,4562.0
2016.01.19.,1-2,948.0,2258.0,4384.0
2016.01.19.,2-3,1027.0,2156.0,4194.0
2016.01.19.,3-4,999.0,2039.0,4114.0
2016.01.19.,4-5,963.0,2081.0,4221.0
2016.01.19.,5-6,986.0,2258.0,4606.0
2016.01.19.,6-7,856.0,2384.0,5429.0
2016.01.19.,7-8,802.0,2325.0,5719.0
2016.01.19.,8-9,686.0,2262.0,5754.0
2016.01.19.,9-10,654.0,2254.0,5786.0
2016.01.19.,10-11,702.0,2346.0,5797.0
2016.01.19.,11-12,721.0,2445.0,5814.0
2016.01.19.,12-13,630.0,2351.0,5807.0
2016.01.19.,13-14,661.0,2300.0,5744.0
2016.01.19.,14-15,719.0,2316.0,5727.0
2016.01.19.,15-16,719.0,2385.0,5783.0
2016.01.19.,16-17,470.0,2300.0,5919.0
2016.01.19.,17-18,324.0,2212.0,6058.0
2016.01.19.,18-19,416.0,2209.0,5973.0
2016.01.19.,19-20,640.0,2307.0,5869.0
2016.01.19.,20-21,797.0,2236.0,5632.0
2016.01.19.,21-22,898.0,2257.0,5402.0
2016.01.19.,22-23,925.0,2416.0,5162.0
2016.01.19.,23-24,1003.0,2407.0,4924.0
2016.01.20.,0-1,1083.0,2312.0,4620.0
2016.01.20.,1-2,1145.0,2229.0,4434.0
2016.01.20.,2-3,1262.0,2184.0,4254.0
2016.01.20.,3-4,1256.0,2133.0,4157.0
