date,hour_utc,price
2013-01-31,20,85.89
2013-01-31,21,77.68
2013-01-31,22,80.01
2013-01-31,23,55.05
2013-02-01,0,11.93
2013-02-01,1,10.6
2013-02-01,2,9.0
2013-02-01,3,9.94
2013-02-01,4,11.99
2013-02-01,5,18.9
2013-02-01,6,36.57
2013-02-01,7,42.77
2013-02-01,8,41.73
2013-02-01,9,43.8
2013-02-01,10,46.0
2013-02-01,11,45.9
2013-02-01,12,45.03
2013-02-01,13,45.53
2013-02-01,14,44.23
2013-02-01,15,44.0
2013-02-01,16,43.8
2013-02-01,17,54.42
2013-02-01,18,55.27
2013-02-01,19,52.0
2013-02-01,20,48.06
2013-02-01,21,39.06
2013-02-01,22,38.0
2013-02-01,23,32.0
2013-02-02,0,33.55
2013-02-02,1,31.58
2013-02-02,2,29.65
2013-02-02,3,27.68
2013-02-02,4,26.0
2013-02-02,5,25.02
2013-02-02,6,28.18
2013-02-02,7,31.0
2013-02-02,8,34.66
2013-02-02,9,45.04
2013-02-02,10,68.12
2013-02-02,11,66.07
2013-02-02,12,61.39
2013-02-02,13,45.02
2013-02-02,14,32.0
2013-02-02,15,36.57
2013-02-02,16,37.1
2013-02-02,17,70.06
2013-02-02,18,70.03
2013-02-02,19,64.01
2013-02-02,20,40.55
2013-02-02,21,34.31
2013-02-02,22,33.3
2013-02-02,23,29.85
2013-02-03,0,33.62
2013-02-03,1,28.0
2013-02-03,2,26.51
2013-02-03,3,24.0
2013-02-03,4,23.29
2013-02-03,5,22.1
2013-02-03,6,20.53
2013-02-03,7,25.07
2013-02-03,8,30.63
2013-02-03,9,70.08
2013-02-03,10,80.06
2013-02-03,11,100.02
2013-02-03,12,80.02
2013-02-03,13,37.73
2013-02-03,14,20.74
2013-02-03,15,16.22
2013-02-03,16,61.27
2013-02-03,17,125.01
2013-02-03,18,150.04
2013-02-03,19,150.03
2013-02-03,20,101.06
2013-02-03,21,70.06
2013-02-03,22,30.28
2013-02-03,23,18.09
2013-02-04,0,16.17
2013-02-04,1,15.37
2013-02-04,2,15.47
2013-02-04,3,14.36
2013-02-04,4,15.88
2013-02-04,5,25.06
2013-02-04,6,64.9
2013-02-04,7,78.06
2013-02-04,8,47.17
2013-02-04,9,45.85
2013-02-04,10,44.24
2013-02-04,11,41.18
2013-02-04,12,61.3
2013-02-04,13,45.1
2013-02-04,14,39.92
2013-02-04,15,38.24
2013-02-04,16,40.09
2013-02-04,17,81.0
2013-02-04,18,65.95
2013-02-04,19,65.97
2013-02-04,20,79.09
2013-02-04,21,78.04
2013-02-04,22,78.01
2013-02-04,23,65.96
2013-02-05,0,12.3
2013-02-05,1,10.82
2013-02-05,2,9.99
2013-02-05,3,9.0
2013-02-05,4,10.67
2013-02-05,5,15.85
2013-02-05,6,36.07
2013-02-05,7,38.0
2013-02-05,8,40.0
2013-02-05,9,37.65
2013-02-05,10,36.0
2013-02-05,11,35.43
2013-02-05,12,35.43
2013-02-05,13,35.46
2013-02-05,14,35.0
2013-02-05,15,37.02
2013-02-05,16,39.67
2013-02-05,17,47.53
2013-02-05,18,51.87
2013-02-05,19,50.01
2013-02-05,20,48.93
2013-02-05,21,42.03
2013-02-05,22,39.71
2013-02-05,23,36.43
2013-02-06,0,32.0
