date_utc,hour_utc,system_vertical_load_MW
2013-01-18,17,5884
2013-01-18,18,5798
2013-01-18,19,5669
2013-01-18,20,5472
2013-01-18,21,5283
2013-01-18,22,5042
2013-01-18,23,4666
2013-01-19,0,4442
2013-01-19,1,4197
2013-01-19,2,4085
2013-01-19,3,4095
2013-01-19,4,4202
2013-01-19,5,4496
2013-01-19,6,4716
2013-01-19,7,4973
2013-01-19,8,5196
2013-01-19,9,5342
2013-01-19,10,5403
2013-01-19,11,5381
2013-01-19,12,5230
2013-01-19,13,5144
2013-01-19,14,5182
2013-01-19,15,5379
2013-01-19,16,5574
2013-01-19,17,5523
2013-01-19,18,5503
2013-01-19,19,5359
2013-01-19,20,5103
2013-01-19,21,4816
2013-01-19,22,4583
2013-01-19,23,4304
2013-01-20,0,4123
2013-01-20,1,3929
2013-01-20,2,3820
2013-01-20,3,3830
2013-01-20,4,3918
2013-01-20,5,4160
2013-01-20,6,4392
2013-01-20,7,4693
2013-01-20,8,4999
2013-01-20,9,5181
2013-01-20,10,5260
2013-01-20,11,5177
2013-01-20,12,5018
2013-01-20,13,4939
2013-01-20,14,4922
2013-01-20,15,5158
2013-01-20,16,5410
2013-01-20,17,5426
2013-01-20,18,5422
2013-01-20,19,5299
2013-01-20,20,4993
2013-01-20,21,4695
2013-01-20,22,4459
2013-01-20,23,4159
2013-01-21,0,4054
2013-01-21,1,3879
2013-01-21,2,3814
2013-01-21,3,3931
2013-01-21,4,4333
2013-01-21,5,5231
2013-01-21,6,5605
2013-01-21,7,5685
2013-01-21,8,5753
2013-01-21,9,5794
2013-01-21,10,5827
2013-01-21,11,5851
2013-01-21,12,5772
2013-01-21,13,5769
2013-01-21,14,5797
2013-01-21,15,5946
2013-01-21,16,6004
2013-01-21,17,5914
2013-01-21,18,5858
2013-01-21,19,5728
2013-01-21,20,5520
2013-01-21,21,5293
2013-01-21,22,5028
2013-01-21,23,4699
2013-01-22,0,4476
2013-01-22,1,4266
2013-01-22,2,4169
2013-01-22,3,4253
2013-01-22,4,4624
2013-01-22,5,5386
2013-01-22,6,5695
2013-01-22,7,5759
2013-01-22,8,5796
2013-01-22,9,5843
2013-01-22,10,5872
2013-01-22,11,5914
2013-01-22,12,5876
2013-01-22,13,5881
2013-01-22,14,5936
2013-01-22,15,6059
2013-01-22,16,6127
2013-01-22,17,6022
2013-01-22,18,5960
2013-01-22,19,5813
2013-01-22,20,5599
2013-01-22,21,5353
2013-01-22,22,5068
2013-01-22,23,4725
2013-01-23,0,4521
2013-01-23,1,4325
2013-01-23,2,4237
2013-01-23,3,4314
2013-01-23,4,4683
