date,tick,export,import,system_load
2016.01.10.,11-12,565,2529,5108
2016.01.10.,12-13,612,2554,5033
2016.01.10.,13-14,731,2473,4836
2016.01.10.,14-15,852,2509,4746
2016.01.10.,15-16,830,2438,4750
2016.01.10.,16-17,626,2635,4974
2016.01.10.,17-18,501,2633,5132
2016.01.10.,18-19,611,2622,5105
2016.01.10.,19-20,702,2670,5100
2016.01.10.,20-21,769,2479,4937
2016.01.10.,21-22,832,2364,4704
2016.01.10.,22-23,1001,2332,4514
2016.01.10.,23-24,1140,2312,4296
2016.01.11.,0-1,976,1937,4021
2016.01.11.,1-2,968,1804,3911
2016.01.11.,2-3,893,1522,3739
2016.01.11.,3-4,859,1350,3655
2016.01.11.,4-5,932,1479,3787
2016.01.11.,5-6,1094,1991,4207
2016.01.11.,6-7,924,2183,5078
2016.01.11.,7-8,828,2234,5402
2016.01.11.,8-9,745,2267,5484
2016.01.11.,9-10,773,2366,5570
2016.01.11.,10-11,774,2348,5597
2016.01.11.,11-12,684,2232,5626
2016.01.11.,12-13,644,2158,5622
2016.01.11.,13-14,710,2161,5567
2016.01.11.,14-15,753,2208,5573
2016.01.11.,15-16,758,2263,5662
2016.01.11.,16-17,621,2334,5774
2016.01.11.,17-18,681,2390,5797
2016.01.11.,18-19,743,2402,5702
2016.01.11.,19-20,796,2376,5609
2016.01.11.,20-21,913,2319,5414
2016.01.11.,21-22,937,2266,5191
2016.01.11.,22-23,787,2309,4943
2016.01.11.,23-24,778,2117,4681
2016.01.12.,0-1,865,1925,4332
2016.01.12.,1-2,686,1577,4144
2016.01.12.,2-3,599,1305,3951
2016.01.12.,3-4,549,1204,3875
2016.01.12.,4-5,568,1311,3991
2016.01.12.,5-6,671,1563,4335
2016.01.12.,6-7,701,1989,5121
2016.01.12.,7-8,626,1979,5409
2016.01.12.,8-9,548,1958,5410
2016.01.12.,9-10,408,1887,5427
2016.01.12.,10-11,351,1877,5422
2016.01.12.,11-12,307,1857,5425
2016.01.12.,12-13,416,1926,5431
2016.01.12.,13-14,420,1926,5361
2016.01.12.,14-15,517,2030,5381
2016.01.12.,15-16,464,2008,5474
2016.01.12.,16-17,370,2114,5658
2016.01.12.,17-18,579,2346,5772
2016.01.12.,18-19,671,2371,5689
2016.01.12.,19-20,803,2388,5593
2016.01.12.,20-21,886,2265,5401
2016.01.12.,21-22,1040,2300,5181
2016.01.12.,22-23,961,2387,4934
2016.01.12.,23-24,1008,2356,4696
2016.01.13.,0-1,1133,2241,4395
2016.01.13.,1-2,1010,1965,4187
2016.01.13.,2-3,868,1632,4003
2016.01.13.,3-4,751,1441,3909
2016.01.13.,4-5,850,1609,4014
2016.01.13.,5-6,971,1891,4371
2016.01.13.,6-7,887,2173,5173
2016.01.13.,7-8,880,2260,5444
2016.01.13.,8-9,797,2257,5440
2016.01.13.,9-10,696,2266,5446
2016.01.13.,10-11,738,2314,5473
2016.01.13.,11-12,655,2269,5492
2016.01.13.,12-13,623,2228,5504
2016.01.13.,13-14,659,2227,5422
2016.01.13.,14-15,735,2316,5419
2016.01.13.,15-16,760,2328,5530
2016.01.13.,16-17,678,2407,5733
2016.01.13.,17-18,627,2363,5826
2016.01.13.,18-19,633,2285,5736
2016.01.13.,19-20,681,2219,5643
2016.01.13.,20-21,821,2153,5433
2016.01.13.,21-22,1089,2229,5226
2016.01.13.,22-23,938,2247,4969
2016.01.13.,23-24,1170,2447,4739
2016.01.14.,0-1,1337,2388,4424
2016.01.14.,1-2,1181,2071,4225
2016.01.14.,2-3,1074,1759,4021
2016.01.14.,3-4,993,1585,3948
2016.01.14.,4-5,1094,1785,4055
2016.01.14.,5-6,1277,2158,4407
2016.01.14.,6-7,1012,2286,5216
2016.01.14.,7-8,946,2279,5483
2016.01.14.,8-9,774,2236,5465
2016.01.14.,9-10,756,2256,5473
2016.01.14.,10-11,737,2382,5460
2016.01.14.,11-12,687,2460,5507
2016.01.14.,12-13,743,2326,5511
2016.01.14.,13-14,757,2239,5461
2016.01.14.,14-15,766,2201,5442
2016.01.14.,15-16,722,2202,5523
2016.01.14.,16-17,680,2265,5710
2016.01.14.,17-18,641,2253,5852
2016.01.14.,18-19,692,2203,5758
2016.01.14.,19-20,706,2133,5665
2016.01.14.,20-21,887,2146,5475
2016.01.14.,21-22,946,2151,5256
2016.01.14.,22-23,1049,2266,5023
